Region,Segment,Sub-segment,Sub-segment 1,Sub-segment 2,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
Global,By Component,Hardware,Kiosk Scanner Devices,Single-plane Kiosk Scanners,65.7,71.6,78.1,85.3,93.2,101.9,111.7,122.6,134.7,148.0,162.6,178.3,195.4
Global,By Component,Hardware,Kiosk Scanner Devices,Multi-plane (Bioptic) Kiosk Scanners,169.7,186.4,205.0,225.6,248.3,273.6,301.6,332.9,367.8,406.7,449.9,497.5,549.5
Global,By Component,Hardware,Kiosk Scanner Devices,Presentation Kiosk Scanners,19.7,21.8,24.2,26.9,29.8,33.1,36.8,41.0,45.6,50.8,56.7,63.1,70.2
Global,By Component,Hardware,Dedicated / Retailer-Supplied Mobile Devices,Dedicated / Retailer-Supplied Mobile Devices,101.6,114.9,129.9,146.8,166.0,188.0,213.2,242.2,275.2,312.8,355.7,404.4,459.6
Global,By Component,Hardware,Smart-Cart Units,Smart-Cart Units,58.9,67.0,76.2,86.8,98.9,112.8,128.8,147.2,168.4,192.8,220.6,252.3,288.3
Global,By Component,Hardware,Kiosk Terminals / Display + Controller,Kiosk Terminals / Display + Controller,252.8,284.3,320.0,360.3,405.4,455.9,513.1,578.3,652.7,737.5,833.4,940.8,"1,061.2"
Global,By Component,Hardware,Payment Units,Payment Units,61.3,67.6,74.6,82.4,91.2,100.9,111.9,124.2,137.9,153.2,170.2,189.0,209.8
Global,By Component,Hardware,Kiosk Cabinet / Enclosure,Kiosk Cabinet / Enclosure,241.5,263.0,286.7,312.9,341.5,372.8,407.5,446.0,488.7,536.0,587.8,644.0,704.9
Global,By Component,Hardware,Receipt Printer,Receipt Printer,88.8,95.9,103.7,112.3,121.6,131.7,142.9,155.3,168.9,183.9,200.2,217.8,236.7
Global,By Component,Hardware,"Others (Scale / Bagging Hardware, Power & Internal Electronics, Mounting / Wiring / Minor Internal Hardware, Embedded Scan Modules, Network & Accessories)","Others (Scale / Bagging Hardware, Power & Internal Electronics, Mounting / Wiring / Minor Internal Hardware, Embedded Scan Modules, Network & Accessories)",117.9,131.4,146.6,163.5,182.3,203.4,227.0,253.8,284.2,318.6,357.2,400.4,448.3
Global,By Component,Software,Scanning & Decoding software,Scanning & Decoding software,127.2,141.1,156.5,173.5,192.5,213.7,237.8,265.0,295.6,329.8,368.0,410.4,457.4
Global,By Component,Software,Computer Vision Software,Computer Vision Software,29.7,33.9,38.6,44.0,50.1,57.2,65.5,75.0,86.0,98.6,112.9,129.4,148.1
Global,By Component,Software,POS & Payment Integration Software,POS & Payment Integration Software,107.0,120.2,135.1,151.9,171.0,192.7,217.6,246.1,278.6,315.3,356.8,403.3,455.4
