Region,Segment,Sub-segment,Sub-segment 1,Sub-segment 2,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
Global,By Component,Hardware,Kiosk Scanner Devices,Single-plane Kiosk Scanners,"174,306","188,086","203,016","218,892","235,860","254,057","273,744","295,238","318,353","343,152","369,152","396,187","424,583"
Global,By Component,Hardware,Kiosk Scanner Devices,Multi-plane (Bioptic) Kiosk Scanners,"72,754","79,217","86,252","93,803","101,827","110,393","119,607","129,647","140,438","152,139","164,622","177,786","191,747"
Global,By Component,Hardware,Kiosk Scanner Devices,Presentation Kiosk Scanners,"74,434","81,651","89,603","98,235","107,519","117,522","128,375","140,261","153,152","167,197","182,186","198,025","214,953"
Global,By Component,Hardware,Dedicated / Retailer-Supplied Mobile Devices,Dedicated / Retailer-Supplied Mobile Devices,"80,525","90,282","101,061","112,903","125,941","140,420","156,591","174,658","194,609","216,652","240,881","267,344","296,387"
Global,By Component,Hardware,Smart-Cart Units,Smart-Cart Units,"16,724","18,844","21,222","23,869","26,809","30,072","33,722","37,822","42,380","47,454","53,033","59,140","65,862"
Global,By Component,Hardware,Kiosk Terminals / Display + Controller,Kiosk Terminals / Display + Controller,"140,601","156,592","174,445","193,966","215,022","237,734","262,560","289,967","320,083","353,314","389,284","427,715","469,385"
Global,By Component,Hardware,Payment Units,Payment Units,"200,777","219,591","240,007","262,032","285,702","311,296","339,194","369,674","402,401","437,875","475,736","515,871","558,689"
Global,By Component,Hardware,Kiosk Cabinet / Enclosure,Kiosk Cabinet / Enclosure,"169,340","182,699","197,186","212,555","228,686","245,721","263,943","283,734","304,920","327,655","351,417","376,010","401,783"
Global,By Component,Hardware,Receipt Printer,Receipt Printer,"222,632","238,219","254,917","272,412","290,787","309,929","330,313","352,160","375,318","399,830","425,286","451,441","478,525"
Global,By Component,Hardware,"Others (Scale / Bagging Hardware, Power & Internal Electronics, Mounting / Wiring / Minor Internal Hardware, Embedded Scan Modules, Network & Accessories)","Others (Scale / Bagging Hardware, Power & Internal Electronics, Mounting / Wiring / Minor Internal Hardware, Embedded Scan Modules, Network & Accessories)","160,478","177,264","195,814","215,932","237,492","260,773","286,131","314,150","344,948","378,689","415,176","454,109","495,988"
Global,By Product Type,Fixed-Position Self-Scanning Kiosks,Single-Plane Self-Scanning Kiosks,Single-Plane Self-Scanning Kiosks,"70,709","77,818","85,555","93,901","102,977","112,863","123,752","135,760","148,851","163,063","178,448","194,999","212,903"
Global,By Product Type,Fixed-Position Self-Scanning Kiosks,Multi-Plane Self-Scanning Kiosks,Multi-Plane Self-Scanning Kiosks,"57,410","64,066","71,510","79,729","88,801","98,878","110,137","122,819","136,927","152,615","169,840","188,649","209,306"
Global,By Product Type,Fixed-Position Self-Scanning Kiosks,Presentation Self-Scanning Kiosks,Presentation Self-Scanning Kiosks,"37,502","41,644","46,264","51,336","56,864","62,893","69,553","76,979","85,153","94,198","104,036","114,672","126,245"
